company_names,ratings,reviews_count,salary_count,interview_count,jobs_count,company_sector,locations,benefits_count,page_num
Procter & Gamble,4.0,1.6k,5.7k,133,--,FMCG,Mumbai +249 other locations,166,31
Vardhman Fabrics,4.0,1.6k,5.2k,78,11,Fashion & Textile,Baddi +62 other locations,147,31
CG Power and Industrial Solutions,3.8,1.6k,6.4k,104,6,Electrical Equipment,Bhopal +90 other locations,213,31
Suryoday Small Finance Bank,4.0,1.6k,4.5k,96,--,Banking,Mumbai +229 other locations,86,32
Orchids International School,3.8,1.6k,3.7k,323,23,Education & Training,Bangalore / Bengaluru +34 other locations,53,32
Chegg,4.1,1.6k,4k,167,6,EdTech,New Delhi +77 other locations,87,32
Hero Motors Company,3.9,1.6k,6.1k,96,--,Automobile,Ghaziabad +230 other locations,120,32
PharmEasy,3.7,1.6k,6.5k,116,1,Internet,Bangalore / Bengaluru +71 other locations,153,32
Arvind Group,4.0,1.6k,5.2k,78,--,Fashion & Textile,Ahmedabad +91 other locations,296,32
Patanjali Foods,3.8,1.6k,4.3k,100,2,FMCG,Haridwar +229 other locations,108,32
Belrise Industries,3.7,1.6k,6.1k,105,11,Auto Components,Pune +58 other locations,97,32
HERE Technologies,3.8,1.6k,7.7k,112,23,IT Services & Consulting,Mumbai +19 other locations,285,32
CMA CGM,3.9,1.6k,8.1k,100,10,Ports & Shipping,Chennai +36 other locations,211,32
IIFL SAMASTA,3.7,1.6k,3.1k,81,--,NBFC,Bangalore / Bengaluru +397 other locations,19,32
Clover Infotech,3.4,1.6k,11.6k,137,97,IT Services & Consulting,Mumbai +22 other locations,95,32
Marico,3.8,1.6k,5.6k,101,25,FMCG,Mumbai +182 other locations,162,32
Honda,4.1,1.6k,4k,111,6,Automobile,Gurgaon / Gurugram +227 other locations,204,32
Krishna Maruti,3.8,1.6k,5.1k,127,7,Auto Components,Gurgaon / Gurugram +50 other locations,119,32
Coronis Ajuba Solutions,3.9,1.6k,5.6k,93,15,BPO,Chennai +31 other locations,140,32
ReNew,4.3,1.6k,6k,131,60,Power,Gurgaon / Gurugram +107 other locations,96,32
Emami,3.8,1.6k,5.2k,104,8,FMCG,Kolkata +174 other locations,131,32
Wockhardt,3.8,1.6k,4.1k,64,2,Pharma,Aurangabad +83 other locations,178,32
Welspun Living Limited,3.9,1.6k,5k,88,--,Fashion & Textile,Anjar +85 other locations,150,32
Tata 1mg,3.6,1.6k,6.8k,218,65,Internet,Gurgaon / Gurugram +63 other locations,100,33
